index,team,round_id,points,goals_scored,goals_conceded,round_num,total_points,avg_points_last_5,avg_points_last_10,avg_goals_scored_last_5,avg_goals_scored_last_10,avg_goals_conceded_last_5,avg_goals_conceded_last_10,displayName,num_rounds_left,proj_points_avg_last_5,proj_points_avg_last_10,goal_diff_game,goal_diff,rank,rank_proj5,rank_proj10
578,1. FC Köln,4686-58-160,3,3.0,1.0,1,3,3.0,3.0,3.0,3.0,1.0,1.0,1. Runde,33,102.0,102.0,2.0,2.0,3,3,3
306,Augsburg,4686-58-160,0,0.0,4.0,1,0,0.0,0.0,0.0,0.0,4.0,4.0,1. Runde,33,0.0,0.0,-4.0,-4.0,17,17,17
442,Bayer Leverkusen,4686-58-160,0,0.0,1.0,1,0,0.0,0.0,0.0,0.0,1.0,1.0,1. Runde,33,0.0,0.0,-1.0,-1.0,12,12,12
170,Bayern München,4686-58-160,3,6.0,1.0,1,3,3.0,3.0,6.0,6.0,1.0,1.0,1. Runde,33,102.0,102.0,5.0,5.0,1,1,1
34,Borussia Dortmund,4686-58-160,3,1.0,0.0,1,3,3.0,3.0,1.0,1.0,0.0,0.0,1. Runde,33,102.0,102.0,1.0,1.0,6,6,6
0,Eintracht Frankfurt,4686-58-160,0,1.0,6.0,1,0,0.0,0.0,1.0,1.0,6.0,6.0,1. Runde,33,0.0,0.0,-5.0,-5.0,18,18,18
102,FSV Mainz 05,4686-58-160,3,2.0,1.0,1,3,3.0,3.0,2.0,2.0,1.0,1.0,1. Runde,33,102.0,102.0,1.0,1.0,7,7,7
272,Hertha Berlin,4686-58-160,0,1.0,3.0,1,0,0.0,0.0,1.0,1.0,3.0,3.0,1. Runde,33,0.0,0.0,-2.0,-2.0,14,14,14
238,Mönchengladbach,4686-58-160,3,3.0,1.0,1,3,3.0,3.0,3.0,3.0,1.0,1.0,1. Runde,33,102.0,102.0,2.0,2.0,4,4,4
68,RB Leipzig,4686-58-160,1,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1. Runde,33,34.0,34.0,0.0,0.0,8,8,8
510,SC Freiburg,4686-58-160,3,4.0,0.0,1,3,3.0,3.0,4.0,4.0,0.0,0.0,1. Runde,33,102.0,102.0,4.0,4.0,2,2,2
136,Schalke 04,4686-58-160,0,1.0,3.0,1,0,0.0,0.0,1.0,1.0,3.0,3.0,1. Runde,33,0.0,0.0,-2.0,-2.0,15,15,15
408,TSG Hoffenheim,4686-58-160,0,1.0,3.0,1,0,0.0,0.0,1.0,1.0,3.0,3.0,1. Runde,33,0.0,0.0,-2.0,-2.0,16,16,16
340,Union Berlin,4686-58-160,3,3.0,1.0,1,3,3.0,3.0,3.0,3.0,1.0,1.0,1. Runde,33,102.0,102.0,2.0,2.0,5,5,5
544,VfB Stuttgart,4686-58-160,1,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1. Runde,33,34.0,34.0,0.0,0.0,9,9,9
476,VfL Bochum,4686-58-160,0,1.0,2.0,1,0,0.0,0.0,1.0,1.0,2.0,2.0,1. Runde,33,0.0,0.0,-1.0,-1.0,13,13,13
374,VfL Wolfsburg,4686-58-160,1,2.0,2.0,1,1,1.0,1.0,2.0,2.0,2.0,2.0,1. Runde,33,34.0,34.0,0.0,0.0,10,10,10
204,Werder Bremen,4686-58-160,1,2.0,2.0,1,1,1.0,1.0,2.0,2.0,2.0,2.0,1. Runde,33,34.0,34.0,0.0,0.0,11,11,11
579,1. FC Köln,4686-58-161,1,2.0,2.0,2,4,2.0,2.0,2.5,2.5,1.5,1.5,2. Runde,32,68.0,68.0,0.0,2.0,3,3,3
307,Augsburg,4686-58-161,3,2.0,1.0,2,3,1.5,1.5,1.0,1.0,2.5,2.5,2. Runde,32,51.0,51.0,1.0,-3.0,9,9,9
443,Bayer Leverkusen,4686-58-161,0,1.0,2.0,2,0,0.0,0.0,0.5,0.5,1.5,1.5,2. Runde,32,0.0,0.0,-1.0,-2.0,17,17,17
171,Bayern München,4686-58-161,3,2.0,0.0,2,6,3.0,3.0,4.0,4.0,0.5,0.5,2. Runde,32,102.0,102.0,2.0,7.0,1,1,1
35,Borussia Dortmund,4686-58-161,3,3.0,1.0,2,6,3.0,3.0,2.0,2.0,0.5,0.5,2. Runde,32,102.0,102.0,2.0,3.0,2,2,2
1,Eintracht Frankfurt,4686-58-161,1,1.0,1.0,2,1,0.5,0.5,1.0,1.0,3.5,3.5,2. Runde,32,17.0,17.0,0.0,-5.0,16,16,16
103,FSV Mainz 05,4686-58-161,1,0.0,0.0,2,4,2.0,2.0,1.0,1.0,0.5,0.5,2. Runde,32,68.0,68.0,0.0,1.0,6,6,6
273,Hertha Berlin,4686-58-161,1,1.0,1.0,2,1,0.5,0.5,1.0,1.0,2.0,2.0,2. Runde,32,17.0,17.0,0.0,-2.0,13,13,13
239,Mönchengladbach,4686-58-161,1,2.0,2.0,2,4,2.0,2.0,2.5,2.5,1.5,1.5,2. Runde,32,68.0,68.0,0.0,2.0,4,4,4
69,RB Leipzig,4686-58-161,1,2.0,2.0,2,2,1.0,1.0,1.5,1.5,1.5,1.5,2. Runde,32,34.0,34.0,0.0,0.0,10,10,10
511,SC Freiburg,4686-58-161,0,1.0,3.0,2,3,1.5,1.5,2.5,2.5,1.5,1.5,2. Runde,32,51.0,51.0,-2.0,2.0,7,7,7
137,Schalke 04,4686-58-161,1,2.0,2.0,2,1,0.5,0.5,1.5,1.5,2.5,2.5,2. Runde,32,17.0,17.0,0.0,-2.0,14,14,14
409,TSG Hoffenheim,4686-58-161,3,3.0,2.0,2,3,1.5,1.5,2.0,2.0,2.5,2.5,2. Runde,32,51.0,51.0,1.0,-1.0,8,8,8
341,Union Berlin,4686-58-161,1,0.0,0.0,2,4,2.0,2.0,1.5,1.5,0.5,0.5,2. Runde,32,68.0,68.0,0.0,2.0,5,5,5
545,VfB Stuttgart,4686-58-161,1,2.0,2.0,2,2,1.0,1.0,1.5,1.5,1.5,1.5,2. Runde,32,34.0,34.0,0.0,0.0,11,11,11
