index,team,round_id,points,goals_scored,goals_conceded,round_num,total_points,avg_points_last_5,avg_points_last_10,avg_goals_scored_last_5,avg_goals_scored_last_10,avg_goals_conceded_last_5,avg_goals_conceded_last_10,displayName,num_rounds_left,proj_points_avg_last_5,proj_points_avg_last_10,goal_diff_game,goal_diff,rank,rank_proj5,rank_proj10
108,BSC Young Boys,4342-171-160,3,2,1,1,3,3.0,3.0,2.0,2.0,1.0,1.0,1. Runde,35,108.0,108.0,1,1,1,1,1
180,FC Basel 1893,4342-171-160,1,2,2,1,1,1.0,1.0,2.0,2.0,2.0,2.0,1. Runde,35,36.0,36.0,0,0,5,5,5
72,FC Lausanne-Sport,4342-171-160,3,2,1,1,3,3.0,3.0,2.0,2.0,1.0,1.0,1. Runde,35,108.0,108.0,1,1,2,2,2
324,FC Lugano,4342-171-160,3,2,1,1,3,3.0,3.0,2.0,2.0,1.0,1.0,1. Runde,35,108.0,108.0,1,1,3,3,3
288,FC Luzern,4342-171-160,0,1,2,1,0,0.0,0.0,1.0,1.0,2.0,2.0,1. Runde,35,0.0,0.0,-1,-1,7,7,7
144,FC Sion,4342-171-160,0,0,1,1,0,0.0,0.0,0.0,0.0,1.0,1.0,1. Runde,35,0.0,0.0,-1,-1,8,8,8
36,FC St.Gallen 1879,4342-171-160,3,1,0,1,3,3.0,3.0,1.0,1.0,0.0,0.0,1. Runde,35,108.0,108.0,1,1,4,4,4
216,FC Vaduz,4342-171-160,1,2,2,1,1,1.0,1.0,2.0,2.0,2.0,2.0,1. Runde,35,36.0,36.0,0,0,6,6,6
252,FC Zürich,4342-171-160,0,1,2,1,0,0.0,0.0,1.0,1.0,2.0,2.0,1. Runde,35,0.0,0.0,-1,-1,9,9,9
0,Servette FC,4342-171-160,0,1,2,1,0,0.0,0.0,1.0,1.0,2.0,2.0,1. Runde,35,0.0,0.0,-1,-1,10,10,10
109,BSC Young Boys,4342-171-161,1,0,0,2,4,2.0,2.0,1.0,1.0,0.5,0.5,2. Runde,34,72.0,72.0,0,1,2,2,2
181,FC Basel 1893,4342-171-161,0,0,1,2,1,0.5,0.5,1.0,1.0,1.5,1.5,2. Runde,34,18.0,18.0,-1,-1,6,6,6
73,FC Lausanne-Sport,4342-171-161,1,2,2,2,4,2.0,2.0,2.0,2.0,1.5,1.5,2. Runde,34,72.0,72.0,0,1,3,3,3
325,FC Lugano,4342-171-161,1,2,2,2,4,2.0,2.0,2.0,2.0,1.5,1.5,2. Runde,34,72.0,72.0,0,1,4,4,4
289,FC Luzern,4342-171-161,1,2,2,2,1,0.5,0.5,1.5,1.5,2.0,2.0,2. Runde,34,18.0,18.0,0,-1,7,7,7
145,FC Sion,4342-171-161,1,0,0,2,1,0.5,0.5,0.0,0.0,0.5,0.5,2. Runde,34,18.0,18.0,0,-1,8,8,8
37,FC St.Gallen 1879,4342-171-161,3,1,0,2,6,3.0,3.0,1.0,1.0,0.0,0.0,2. Runde,34,108.0,108.0,1,2,1,1,1
217,FC Vaduz,4342-171-161,0,0,1,2,1,0.5,0.5,1.0,1.0,1.5,1.5,2. Runde,34,18.0,18.0,-1,-1,9,9,9
253,FC Zürich,4342-171-161,1,2,2,2,1,0.5,0.5,1.5,1.5,2.0,2.0,2. Runde,34,18.0,18.0,0,-1,10,10,10
1,Servette FC,4342-171-161,3,1,0,2,3,1.5,1.5,1.0,1.0,1.0,1.0,2. Runde,34,54.0,54.0,1,0,5,5,5
110,BSC Young Boys,4342-171-162,3,1,0,3,7,2.3333333333333335,2.3333333333333335,1.0,1.0,0.3333333333333333,0.3333333333333333,3. Runde,33,84.0,84.0,1,2,3,3,3
182,FC Basel 1893,4342-171-162,3,3,2,3,4,1.3333333333333333,1.3333333333333333,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.6666666666666667,3. Runde,33,48.0,48.0,1,0,5,5,5
74,FC Lausanne-Sport,4342-171-162,3,4,0,3,7,2.3333333333333335,2.3333333333333335,2.6666666666666665,2.6666666666666665,1.0,1.0,3. Runde,33,84.0,84.0,4,5,2,2,2
326,FC Lugano,4342-171-162,1,2,2,3,5,1.6666666666666667,1.6666666666666667,2.0,2.0,1.6666666666666667,1.6666666666666667,3. Runde,33,60.0,60.0,0,1,4,4,4
290,FC Luzern,4342-171-162,0,2,3,3,1,0.3333333333333333,0.3333333333333333,1.6666666666666667,1.6666666666666667,2.3333333333333335,2.3333333333333335,3. Runde,33,12.0,12.0,-1,-2,8,8,8
146,FC Sion,4342-171-162,1,2,2,3,2,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,1.0,3. Runde,33,24.0,24.0,0,-1,7,7,7
38,FC St.Gallen 1879,4342-171-162,3,1,0,3,9,3.0,3.0,1.0,1.0,0.0,0.0,3. Runde,33,108.0,108.0,1,3,1,1,1
218,FC Vaduz,4342-171-162,0,0,1,3,1,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.3333333333333333,1.3333333333333333,3. Runde,33,12.0,12.0,-1,-2,9,9,9
254,FC Zürich,4342-171-162,0,0,4,3,1,0.3333333333333333,0.3333333333333333,1.0,1.0,2.6666666666666665,2.6666666666666665,3. Runde,33,12.0,12.0,-4,-5,10,10,10
2,Servette FC,4342-171-162,0,0,1,3,3,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,3. Runde,33,36.0,36.0,-1,-1,6,6,6
111,BSC Young Boys,4342-171-163,1,0,0,4,8,2.0,2.0,0.75,0.75,0.25,0.25,4. Runde,32,72.0,72.0,0,2,3,3,3
183,FC Basel 1893,4342-171-163,0,0,1,4,4,1.0,1.0,1.25,1.25,1.5,1.5,4. Runde,32,36.0,36.0,-1,-1,5,5,5
75,FC Lausanne-Sport,4342-171-163,1,0,0,4,8,2.0,2.0,2.0,2.0,0.75,0.75,4. Runde,32,72.0,72.0,0,5,2,2,2
327,FC Lugano,4342-171-163,1,1,1,4,6,1.5,1.5,1.75,1.75,1.5,1.5,4. Runde,32,54.0,54.0,0,1,4,4,4
291,FC Luzern,4342-171-163,1,2,2,4,2,0.5,0.5,1.75,1.75,2.25,2.25,4. Runde,32,18.0,18.0,0,-2,9,9,9
147,FC Sion,4342-171-163,1,0,0,4,3,0.75,0.75,0.5,0.5,0.75,0.75,4. Runde,32,27.0,27.0,0,-1,8,8,8
39,FC St.Gallen 1879,4342-171-163,1,2,2,4,10,2.5,2.5,1.25,1.25,0.5,0.5,4. Runde,32,90.0,90.0,0,3,1,1,1
219,FC Vaduz,4342-171-163,1,1,1,4,2,0.5,0.5,0.75,0.75,1.25,1.25,4. Runde,32,18.0,18.0,0,-2,10,10,10
255,FC Zürich,4342-171-163,3,1,0,4,4,1.0,1.0,1.0,1.0,2.0,2.0,4. Runde,32,36.0,36.0,1,-4,7,7,7
3,Servette FC,4342-171-163,1,0,0,4,4,1.0,1.0,0.5,0.5,0.75,0.75,4. Runde,32,36.0,36.0,0,-1,6,6,6
112,BSC Young Boys,4342-171-164,3,2,1,5,11,2.2,2.2,1.0,1.0,0.4,0.4,5. Runde,31,79.2,79.2,1,3,1,1,1
184,FC Basel 1893,4342-171-164,3,2,1,5,7,1.4,1.4,1.4,1.4,1.4,1.4,5. Runde,31,50.4,50.4,1,0,5,5,5
76,FC Lausanne-Sport,4342-171-164,0,1,2,5,8,1.6,1.6,1.8,1.8,1.0,1.0,5. Runde,31,57.6,57.6,-1,4,4,4,4
328,FC Lugano,4342-171-164,3,1,0,5,9,1.8,1.8,1.6,1.6,1.2,1.2,5. Runde,31,64.80000000000001,64.80000000000001,1,2,3,3,3
292,FC Luzern,4342-171-164,0,1,2,5,2,0.4,0.4,1.6,1.6,2.2,2.2,5. Runde,31,14.4,14.4,-1,-3,9,9,9
148,FC Sion,4342-171-164,3,2,0,5,6,1.2,1.2,0.8,0.8,0.6,0.6,5. Runde,31,43.199999999999996,43.199999999999996,2,1,7,7,7
40,FC St.Gallen 1879,4342-171-164,0,0,1,5,10,2.0,2.0,1.0,1.0,0.6,0.6,5. Runde,31,72.0,72.0,-1,2,2,2,2
