index,team,round_id,points,goals_scored,goals_conceded,round_num,total_points,avg_points_last_5,avg_points_last_10,avg_goals_scored_last_5,avg_goals_scored_last_10,avg_goals_conceded_last_5,avg_goals_conceded_last_10,displayName,num_rounds_left,proj_points_avg_last_5,proj_points_avg_last_10,goal_diff_game,goal_diff,rank,rank_proj5,rank_proj10
324,BSC Young Boys,4693-171-160,3,4.0,0.0,1,3,3.0,3.0,4.0,4.0,0.0,0.0,1. Runde,35,108.0,108.0,4.0,4.0,1,1,1
144,FC Basel 1893,4693-171-160,1,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1. Runde,35,36.0,36.0,0.0,0.0,4,4,4
180,FC Lugano,4693-171-160,0,2.0,3.0,1,0,0.0,0.0,2.0,2.0,3.0,3.0,1. Runde,35,0.0,0.0,-1.0,-1.0,8,8,8
108,FC Luzern,4693-171-160,1,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1. Runde,35,36.0,36.0,0.0,0.0,5,5,5
252,FC Sion,4693-171-160,3,3.0,2.0,1,3,3.0,3.0,3.0,3.0,2.0,2.0,1. Runde,35,108.0,108.0,1.0,1.0,2,2,2
72,FC St.Gallen 1879,4693-171-160,0,0.0,1.0,1,0,0.0,0.0,0.0,0.0,1.0,1.0,1. Runde,35,0.0,0.0,-1.0,-1.0,9,9,9
216,FC Winterthur,4693-171-160,1,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1. Runde,35,36.0,36.0,0.0,0.0,6,6,6
288,FC Zürich,4693-171-160,0,0.0,4.0,1,0,0.0,0.0,0.0,0.0,4.0,4.0,1. Runde,35,0.0,0.0,-4.0,-4.0,10,10,10
0,Grasshopper Club Zürich,4693-171-160,1,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1. Runde,35,36.0,36.0,0.0,0.0,7,7,7
36,Servette FC,4693-171-160,3,1.0,0.0,1,3,3.0,3.0,1.0,1.0,0.0,0.0,1. Runde,35,108.0,108.0,1.0,1.0,3,3,3
325,BSC Young Boys,4693-171-161,3,3.0,0.0,2,6,3.0,3.0,3.5,3.5,0.0,0.0,2. Runde,34,108.0,108.0,3.0,7.0,1,1,1
145,FC Basel 1893,4693-171-161,1,1.0,1.0,2,2,1.0,1.0,1.0,1.0,1.0,1.0,2. Runde,34,36.0,36.0,0.0,0.0,6,6,6
181,FC Lugano,4693-171-161,0,1.0,2.0,2,0,0.0,0.0,1.5,1.5,2.5,2.5,2. Runde,34,0.0,0.0,-1.0,-2.0,10,10,10
109,FC Luzern,4693-171-161,1,0.0,0.0,2,2,1.0,1.0,0.5,0.5,0.5,0.5,2. Runde,34,36.0,36.0,0.0,0.0,7,7,7
253,FC Sion,4693-171-161,0,0.0,3.0,2,3,1.5,1.5,1.5,1.5,2.5,2.5,2. Runde,34,54.0,54.0,-3.0,-2.0,5,5,5
73,FC St.Gallen 1879,4693-171-161,3,2.0,0.0,2,3,1.5,1.5,1.0,1.0,0.5,0.5,2. Runde,34,54.0,54.0,2.0,1.0,4,4,4
217,FC Winterthur,4693-171-161,0,0.0,2.0,2,1,0.5,0.5,0.5,0.5,1.5,1.5,2. Runde,34,18.0,18.0,-2.0,-2.0,8,8,8
289,FC Zürich,4693-171-161,1,0.0,0.0,2,1,0.5,0.5,0.0,0.0,2.0,2.0,2. Runde,34,18.0,18.0,0.0,-4.0,9,9,9
1,Grasshopper Club Zürich,4693-171-161,3,2.0,1.0,2,4,2.0,2.0,1.5,1.5,1.0,1.0,2. Runde,34,72.0,72.0,1.0,1.0,2,2,2
37,Servette FC,4693-171-161,1,1.0,1.0,2,4,2.0,2.0,1.0,1.0,0.5,0.5,2. Runde,34,72.0,72.0,0.0,1.0,3,3,3
326,BSC Young Boys,4693-171-162,1,1.0,1.0,3,7,2.3333333333333335,2.3333333333333335,2.6666666666666665,2.6666666666666665,0.3333333333333333,0.3333333333333333,3. Runde,33,84.0,84.0,0.0,7.0,1,1,1
146,FC Basel 1893,4693-171-162,3,2.0,0.0,3,5,1.6666666666666667,1.6666666666666667,1.3333333333333333,1.3333333333333333,0.6666666666666666,0.6666666666666666,3. Runde,33,60.0,60.0,2.0,2.0,3,3,3
182,FC Lugano,4693-171-162,3,4.0,1.0,3,3,1.0,1.0,2.3333333333333335,2.3333333333333335,2.0,2.0,3. Runde,33,36.0,36.0,3.0,1.0,7,7,7
110,FC Luzern,4693-171-162,0,0.0,2.0,3,2,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,1.0,1.0,3. Runde,33,24.0,24.0,-2.0,-2.0,8,8,8
254,FC Sion,4693-171-162,1,0.0,0.0,3,4,1.3333333333333333,1.3333333333333333,1.0,1.0,1.6666666666666667,1.6666666666666667,3. Runde,33,48.0,48.0,0.0,-2.0,6,6,6
74,FC St.Gallen 1879,4693-171-162,3,2.0,0.0,3,6,2.0,2.0,1.3333333333333333,1.3333333333333333,0.3333333333333333,0.3333333333333333,3. Runde,33,72.0,72.0,2.0,3.0,2,2,2
218,FC Winterthur,4693-171-162,0,1.0,4.0,3,1,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,2.3333333333333335,2.3333333333333335,3. Runde,33,12.0,12.0,-3.0,-5.0,9,9,9
290,FC Zürich,4693-171-162,0,0.0,2.0,3,1,0.3333333333333333,0.3333333333333333,0.0,0.0,2.0,2.0,3. Runde,33,12.0,12.0,-2.0,-6.0,10,10,10
2,Grasshopper Club Zürich,4693-171-162,1,1.0,1.0,3,5,1.6666666666666667,1.6666666666666667,1.3333333333333333,1.3333333333333333,1.0,1.0,3. Runde,33,60.0,60.0,0.0,1.0,4,4,4
38,Servette FC,4693-171-162,1,0.0,0.0,3,5,1.6666666666666667,1.6666666666666667,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,3. Runde,33,60.0,60.0,0.0,1.0,5,5,5
327,BSC Young Boys,4693-171-163,1,0.0,0.0,4,8,2.0,2.0,2.0,2.0,0.25,0.25,4. Runde,32,72.0,72.0,0.0,7.0,1,1,1
147,FC Basel 1893,4693-171-163,1,0.0,0.0,4,6,1.5,1.5,1.0,1.0,0.5,0.5,4. Runde,32,54.0,54.0,0.0,2.0,5,5,5
183,FC Lugano,4693-171-163,0,1.0,2.0,4,3,0.75,0.75,2.0,2.0,2.0,2.0,4. Runde,32,27.0,27.0,-1.0,0.0,8,8,8
111,FC Luzern,4693-171-163,3,2.0,1.0,4,5,1.25,1.25,0.75,0.75,1.0,1.0,4. Runde,32,45.0,45.0,1.0,-1.0,7,7,7
